english,french,type,gender,weight,category
punishment,peine,noun,f,2,civil/political
to feel sorry for,plaindre,verb,"",1,""
another,de plus,phrase,"",1,""
as well,en plus,phrase,"",1,""
quite,plutôt,adverb,"",1,""
to wear,porter,verb,"",1,""
to advocate,prêcher,verb,"",1,""
warn me,préviens-moi,phrase,"",2,""
at the right moment,à propos,phrase,"",1,""
about,à propos de,preposition,"",1,""
landlord,propriétaire,noun,m/f,1,domestic
wise,prudent,adjective,"",1,""
grumpy,râleur,adjective,"",4,""
to remind,rappeler,verb,"",1,""
profit,rapport,noun,m,1,""
to carry out,réaliser,verb,"",1,""
to admit,reconnaître,verb,"",2,""
line,réplique,noun,f,1,""
to prove to be,se révéler,verb,"",1,""
to joke,rigoler,verb,"",1,""
no through road,voie sans issu,noun,f,1,domestic
no through road,rue sans issu,noun,f,1,domestic
hoof,sabout,noun,m,2,nature
someone without official documents,sans-papiers,noun,m,1,civil/political
spicy,savoureux,adjective,"",1,food & drink
to improve oneself,se cultiver,verb,"",2,""
to rescue,secourir,verb,"",2,""
aid,secours,noun,m,1,civil/political
ape,singe,noun,m,1,nature
society,société,noun,m,1,civil/political
to treat,soigner,verb,"",1,""
in the sale,en solde,adjective,"",1,domestic
request,sollicitation,noun,f,4,""
enticements,sollicitations,noun,pl,1,""
to entice,solliciter,verb,"",1,""
opinion poll,sondage,noun,m,1,civil/political
of the stars,stellaire,adjective,"",1,""
to undergo,subir,verb,"",1,""
sweating,en sueur,adjective,"",1,""
to endure,supporter,verb,"",1,""
great,de taille,adjective,"",1,""
height,taille,noun,f,1,""
so many,tant de,phrase,"",1,""
too bad,tant pis,phrase,"",1,""
so much as,tant que,phrase,"",1,""
to take notice of,tenir compte de,verb,"",1,""
circumnavigation,tour,noun,m,1,""
form,tournure,noun,f,1,""
at every turn,à tout bout de champ,phrase,"",1,""
to give away,trahir,verb,"",1,""
to sort (out),trier,verb,"",1,""
knack,truc,noun,m,1,""
in the news,à la une,phrase,"",1,civil/political
to approach,aborder,verb,"",2,""
nowadays,actuellement,adverb,"",1,""
primer,amorce,noun,f,1,""
to prime,amorcer,verb,"",8,""
to press against,appuyer sur,verb,"",1,""
certainty,assurance,noun,f,1,""
working group,atelier,noun,m,1,occupations
to sweep away,balayer,verb,"",4,domestic
to tip up,basculer,verb,"",1,""
to distress,bouleverser,verb,"",2,""
to shake up,bousculer,verb,"",2,""
discount store,braderie,noun,f,1,domestic
pleased,content,adjective,"",1,""
lane,couloir,noun,m,1,""
to fall apart,craquer,verb,"",1,""
to go (deeply) into,creuser,verb,"",2,""
to sort out,débrouiller,verb,"",1,""
to pull away,démarrer,verb,"",1,""
to unknot,dénouer,verb,"",2,""
losing control,dérapage,noun,m,1,""
to lose control,déraper,verb,"",1,""
to uncoil,dérouler,verb,"",2,""
to disclose,dévoiler,verb,"",1,""
to diffuse,diffuser,verb,"",1,""
discourse,discours,noun,m,1,""
diverse,divers,adjective,"",1,""
slowly,doucement,adjective,"",1,""
tax,droit,noun,m,1,civil/political
unrestrained,effréné,adjective,"",1,""
packing,emballage,noun,m,1,domestic
finally,enfin,adverb,"",1,""
rock climbing,escalade,noun,f,1,""
slim,fin,adjective,"",2,""
insane,fou,adjective,"",2,""
dig,fouille,noun,f,1,""
to dig,fouiller,verb,"",1,""
expenses,frais,noun,pl,1,civil/political
expenses,frais,noun,pl,1,domestic
to ruin,gâcher,verb,"",1,""
ashamed,honteux,adjective,"",2,""
to bully,malmener,verb,"",1,""
untruthfulness,mensonge,noun,m,1,""
to tell lies,mentir,verb,"",1,""
organisation,mise en place,noun,f,1,""
path,parcours,noun,m,1,""
only just,à peine,adverb,"",1,""
sorrow,peine,noun,f,2,""
more,de plus,adverb,"",1,""
on top of that,en plus,phrase,"",1,""
instead,plutôt,adverb,"",1,""
at just the right moment,à propos,phrase,"",1,""
to call back,rappeler,verb,"",1,""
ratio,rapport,noun,m,1,""
cue,réplique,noun,f,1,""
to have fun,rigoler,verb,"",1,""
clog,sabout,noun,m,2,""
juicy,savoureux,adjective,"",1,""
to aid,secourir,verb,"",2,""
assistance,secours,noun,m,1,""
reduced,en solde,adjective,"",1,""
entreaty,sollicitation,noun,f,4,""
entreaties,sollicitations,noun,pl,1,""
to tolerate,supporter,verb,"",1,""
waist,taille,noun,f,1,""
until,tant que,preposition,"",1,""
phrasing,tournure,noun,f,1,""
all the time,à tout bout de champ,phrase,"",1,""
thing,truc,noun,m,1,""
bait,amorce,noun,f,1,""
to bait,amorcer,verb,"",8,""
to rest heavily against,appuyer sur,verb,"",1,""
to sweep across,balayer,verb,"",4,domestic
to turn upside down,bousculer,verb,"",2,""
to turn upside down,bouleverser,verb,"",2,""
aisle,couloir,noun,m,1,domestic
to go wild,craquer,verb,"",1,""
to unravel,débrouiller,verb,"",1,""
to go out of control,déraper,verb,"",1,""
to be going on,se dérouler,verb,"",4,""
to spread,diffuser,verb,"",1,""
fee,droit,noun,m,1,""
hectic,effréné,adjective,"",1,""
to go into,fouiller,verb,"",1,""
to push around,malmener,verb,"",1,""
course,parcours,noun,m,1,""
trouble,peine,noun,f,2,""
moreover,de plus,adverb,"",1,""
connection,rapport,noun,m,1,""
to assist,secourir,verb,"",2,""
to bear,supporter,verb,"",1,""
trimming,taille,noun,f,1,""
bear,ours,noun,m,1,nature
shrub,arbuste,noun,m,1,nature
bush,arbuste,noun,m,1,nature
to dare,oser,verb,"",1,""
to dare to do sth,oser faire qch,verb,"",1,""
inn,hôtellerie,noun,f,1,""
hotel business,hôtellerie,noun,f,1,occupations
thin,maigre,adjective,"",2,person
skinny,maigre,adjective,"",2,person
lean,maigre,adjective,"",2,food & drink
low-fat,maigre,adjective,"",2,food & drink
length,long,noun,m,2,""
hair,poil,noun,m,1,nature
coat,poil,noun,m,1,nature
to cure,guérir,verb,"",1,""
to heal,guérir,verb,"",1,""
to recover,guérir,verb,"",1,""
fist,poing,noun,m,1,""
to reward,récompenser,verb,"",1,""
to award,décerner,verb,"",1,""
stallion,étalon,noun,m,1,""
wild horse,étalon,noun,m,1,""
soul,âme,noun,f,1,""
by chance,par hasard,adverb,"",1,""
common,courant,adjective,"",1,""
part-time,à mi-temps,adverb,"",1,""
full-time,à plein-temps,adverb,"",1,""
blood pressure,pression sanguine,noun,f,1,""
blood pressure,tension,noun,f,1,""
twin,jumeau,noun,m,1,""
twin,jumeau,adjective,"",1,""
twin,jumelle,noun,f,1,""
twin,jumelle,adjective,"",1,""
camel,chameau,noun,m,2,""
to joke,plaisanter,verb,"",1,""
to see,apercevoir,verb,"",1,""
to be very hungry,avoir très faim,phrase,"",1,""
to be very thirsty,avoir très soif,phrase,"",1,""
to fill with wonder,émerveiller,verb,"",2,""
to marvel at sth,s'émerveiller de qch,phrase,"",2,""
wonder,émerveillement,noun,m,1,""
to end up doing,finir par faire,phrase,"",1,""
in a good mood,de bonne humeur,phrase,"",1,""
in a bad mood,de mauvaise humeur,phrase,"",1,""
to be lucky,avoir de la chance,phrase,"",1,""
to forbid sb to do,défendre à qn de faire,phrase,"",1,""
to forbid sb sth,défendre qch à qn,phrase,"",1,""
nursery,garderie,noun,f,1,""
crèche,garderie,noun,f,1,""
nursery,crèche,noun,f,1,""
crèche,crèche,noun,f,1,""
kindly,gentiment,adverb,"",1,""
nicely,gentiment,adverb,"",1,""
politely,gentiment,adverb,"",1,""
politely,poliment,adverb,"",1,""
postponement,report,noun,m,1,""
deferment,report,noun,m,1,""
delegate,député,noun,m,1,""
deputy,député,noun,m,1,""
delegate,députée,noun,f,1,""
deputy,députée,noun,f,1,""
prosecutor,procureur,noun,m,1,""
public prosecutor,procureur,noun,m,1,""
to start,entamer,verb,"",2,""
to cut into,entamer,verb,"",2,""
to make a dent in,entamer,verb,"",2,""
against,à l'encontre de,preposition,"",1,""
counter to,à l'encontre de,preposition,"",1,""
just as,ainsi que,conjunction,"",1,""
as well as,ainsi que,conjunction,"",1,""
slap,gifle,noun,f,1,""
to slap,gifler,verb,"",1,""
to get around,contourner,verb,"",1,""
to bypass,contourner,verb,"",1,""
to skirt,contourner,verb,"",1,""
to oppose,s'opposer à,verb,"",1,""
to rebel against,s'opposer à,verb,"",1,""
to oppose,opposer,verb,"",1,""
sleeve,manche,noun,f,1,""
fame,célébrité,noun,f,1,""
fame,renommée,noun,f,1,""
fame,notoriété,noun,f,1,""
celebrity,célébrité,noun,f,1,""
to try,tenter,verb,"",1,""
to tempt,tenter,verb,"",1,""
to try,essayer,verb,"",1,""
to tear out,arracher,verb,"",1,""
to tear off,arracher,verb,"",1,""
to tear down,arracher,verb,"",1,""
to pull out,arracher,verb,"",1,""
to pull up,arracher,verb,"",1,""
to pull down,arracher,verb,"",1,""
to snatch sth from sb,arracher qch à qn,phrase,"",1,""
to wrest sth from sb,arracher qch à qn,phrase,"",1,""
to tear sb away from sth,arracher qn à qch,phrase,"",1,""
to drag sb out of sth,arracher qn à qch,phrase,"",1,""
attempt,tentative,noun,"",1,""
beyond,au-delà,adverb,"",1,""
beyond,au-delà de,preposition,"",1,""
oil slick,marée noire,noun,f,1,""
slick,nappe,noun,f,1,""
oil slick,nappe de mazout,noun,f,1,""
tablecloth,nappe,noun,f,1,""
shipwreck,naufrage,noun,m,1,""
the race against the clock,la course contre la montre,phrase,"",1,""
to note,constater,verb,"",1,""
to notice,constater,verb,"",1,""
to state that,constater que,verb,"",1,""
to make for,se diriger vers,verb,"",1,""
to head for,se diriger vers,verb,"",1,""
to find one's way,se diriger,verb,"",1,""
to aim,viser,verb,"",1,""
to aim at,viser,verb,"",1,""
to aim at,viser à,verb,"",1,""
to aim to do,viser à faire,phrase,"",1,""
to establish,instaurer,verb,"",1,""
ship,navire,noun,m,1,""
to pour,déverser,verb,"",1,""
to pour out,déverser,verb,"",1,""
to tip,déverser,verb,"",1,""
waste water,eaux usées,noun,pl,1,""
worn,usé,adjective,"",1,""
to face,affronter,verb,"",1,""
to confront,affronter,verb,"",1,""
as one goes along,au fur et à mesure,adverb,"",1,""
as,au fur et à mesure que,conjunction,"",1,""
shame,honte,noun,f,1,""
to be ashamed of,avoir honte de,verb,"",1,""
sin,péché,noun,m,1,""
expression,mine,noun,f,1,""
look,mine,noun,f,1,""
to brown,brunir,verb,"",1,""
to go brown,brunir,verb,"",1,""
to tan,brunir,verb,"",1,""
to knock over,renverser,verb,"",1,""
to overturn,renverser,verb,"",1,""
to spill,renverser,verb,"",1,""
to bite,mordre,verb,"",1,""
to bite into,mordre,verb,"",1,""
to bite into,mordre,verb,"",1,""
chest,poitrine,noun,f,1,person
neck,cou,noun,m,1,person
shoulder,épaule,noun,f,1,person
stomach,ventre,noun,m,1,person
belly,ventre,noun,m,1,person
elbow,coude,noun,m,1,person
knee,genou,noun,m,1,person
thigh,cuisse,noun,f,1,person
toe,orteil,noun,m,1,person
wrist,poignet,noun,m,1,person
nail,ongle,noun,m,1,person
palm,paume,noun,f,1,person
calf,mollet,noun,m,1,person
buttock,fesse,noun,f,1,person
bottom,postérieur,noun,m,1,person
bum,postérieur,noun,m,1,person
heel,talon,noun,m,1,person
ankle,cheville,noun,f,1,person
limb,membre,noun,m,1,person
fist,poing,noun,m,1,person
groin,aine,noun,f,1,person
weight,poids,noun,m,1,person
poetry,poésie,noun,f,1,""
poem,poésie,noun,f,1,""
poem,poème,noun,m,1,""
cute,mignon,adjective,"",1,person
ugly,moche,adjective,"",1,person
ugly,laid,adjective,"",1,person
ugly,vilain,adjective,"",1,person
toad,crapaud,noun,m,1,nature
lip,lèvre,noun,f,1,person
cheek,joue,noun,f,1,person
chin,menton,noun,m,1,person
sunflower,tournesol,noun,m,1,nature
to yawn,bâillir,verb,"",1,""
to whistle,siffler,verb,"",1,""
waking up,réveil,noun,m,1,domestic
alarm clock,réveil,noun,m,1,domestic
alarm,réveil,noun,m,1,domestic
on waking,au réveil,phrase,"",1,domestic
kettle,bouilloire,noun,f,1,domestic
to wash,faire sa toilette,verb,"",1,domestic
to have a wash,faire sa toilette,verb,"",1,domestic
comb,peigne,noun,m,1,domestic
to comb the hair of,peigner,verb,"",1,domestic
to comb,peigner,verb,"",1,domestic
cup,tasse,noun,f,1,domestic
slice,tranche,noun,f,1,domestic
to swallow,avaler,verb,"",1,""
ground floor,rez-de-chausée,noun,m,1,domestic
post,courrier,noun,m,1,domestic
mail,courrier,noun,m,1,domestic
display,étalage,noun,m,1,commercial
bookstall,bouquiniste,noun,m,1,commercial
secondhand bookseller,bouquiniste,noun,m,1,commercial
secondhand bookshop,bouquiniste,noun,m,1,commercial
there's no point doing,ce n'est pas la peine de faire,phrase,"",1,""
